title	question	context	answer	linkki
squad_v2_11	Mistä monet maallisen taiteen teokset veistettiin tällä kaudella?	"Tänä aikana käsikirjoitusten valaiseminen siirtyi vähitellen luostareista maallikoiden työpajoihin, ja Janetta Bentonin mukaan ""vuoteen 1300 mennessä useimmat munkit ostivat kirjansa kaupoista"", ja tuntikirja kehittyi eräänlaiseksi maallikoiden hartauskirjaksi. Metallityöt olivat edelleen arvostetuin taidemuoto, ja Limogesin emali oli suosittu ja suhteellisen edullinen vaihtoehto esineisiin, kuten reliikkikaappiin ja ristiin. Italiassa Cimabuen ja Duccion innovaatiot, joita seurasi Trecenton mestari Giotto (k. 1337), lisäsivät huomattavasti paneelimaalauksen ja freskomaalauksen hienostuneisuutta ja arvostusta. Vaurauden lisääntyminen 1200-luvulla johti maallisen taiteen tuotannon lisääntymiseen; monet veistetyt norsunluuesineet, kuten pelivälineet, kammat ja pienet uskonnolliset hahmot, ovat säilyneet."	norsunluuesineet	
squad_v2_12	Miten Jehovan todistajat näkevät itsensä suhteessa kirkon valtarakenteeseen?	"Sosiologi Rodney Stark toteaa, että Jehovan todistajien johtajat eivät ole ""aina kovin demokraattisia"" ja että jäsenten ""odotetaan noudattavan melko tiukkoja normeja"", mutta lisää, että ""täytäntöönpano on yleensä hyvin epävirallista, ja sitä ylläpitävät läheiset ystävyyssuhteet ryhmän sisällä"" ja että Jehovan todistajat pitävät itseään ""pikemminkin osana valtarakennetta kuin sen alaisina"". Sosiologi Andrew Holden toteaa, että useimmat jäsenet, jotka liittyvät Jehovan todistajien kaltaisiin millenaristisiin liikkeisiin, ovat tehneet tietoisen valinnan. Hän toteaa kuitenkin myös, että loikkareille ""harvoin sallitaan arvokas poistuminen"", ja kuvaa hallintoa itsevaltaiseksi."	"""pikemminkin osana valtarakennetta kuin sen alaisina"""	
squad_v2_13	Mistä muusta germaanisesta kielestä viro on saanut sanastonsa?	Vaikka viro ja germaaniset kielet ovat hyvin erilaista alkuperää, esimerkiksi virossa ja englannissa on paljon samankaltaisia sanoja. Tämä johtuu pääasiassa siitä, että viron kieli on lainannut lähes kolmanneksen sanastostaan germaanisista kielistä, pääasiassa saksalaisvallan aikaisesta matalasaksista (keskimatalasaksa) ja korkeasaksasta (mukaan lukien tavallinen saksa). Matalasaksisten ja korkeasaksalaisten lainasanojen osuudeksi voidaan arvioida 22-25 prosenttia, ja matalasaksisen osuus on noin 15 prosenttia[citation needed].	None	
squad_v2_14	Miten suurjännitekondensaattoreiden napoja säilytetään?	"Kondensaattorit voivat säilyttää varauksen pitkään sen jälkeen, kun virtapiiristä on katkaistu virta; tämä varaus voi aiheuttaa vaarallisia tai jopa mahdollisesti kuolemaan johtavia sähköiskuja tai vaurioittaa kytkettyjä laitteita. Esimerkiksi jopa näennäisen harmittomassa laitteessa, kuten kertakäyttökameran salamalaitteessa, joka saa virtansa 1,5 voltin AA-paristosta, on kondensaattori, joka voi sisältää yli 15 joulea energiaa ja olla ladattu yli 300 volttiin. Tämä pystyy helposti antamaan sähköiskun. Elektronisten laitteiden huoltomenetelmiin sisältyy yleensä ohjeet suurten tai korkeajännitteisten kondensaattoreiden purkamisesta esimerkiksi Brinkley-tikun avulla. Kondensaattoreissa voi olla myös sisäänrakennettuja purkausvastuksia, joiden avulla varastoitunut energia saadaan hävitettyä turvalliselle tasolle muutamassa sekunnissa virran katkaisun jälkeen. Suurjännitekondensaattorit varastoidaan siten, että niiden navat on oikosuljettu, jotta ne suojautuvat dielektrisestä absorptiosta johtuvilta vaarallisilta jännitteiltä tai kondensaattorin staattisista varauksista tai ohimenevistä sääilmiöistä peräisin olevilta transienttijännitteiltä."	siten, että niiden navat on oikosuljettu	
squad_v2_15	Missä sijaitsee Cubsin nykyinen kevätharjoituspaikka?	"Cubsin nykyinen kevätharjoituspaikka sijaitsee Sloan Parkissa Arizonan Mesassa, jossa joukkue pelaa Cactus League -liigassa. Puistossa on 15 000 istumapaikkaa, joten se on kapasiteetiltaan Major League Baseballin suurin kevätharjoituspaikka. Cubs myy vuosittain suurimman osan peleistään loppuun sekä koti- että vieraspeleissään. Ennen Sloan Parkin avaamista vuonna 2014 joukkue pelasi pelejä HoHoKam Park - Dwight Patterson Fieldillä vuodesta 1979. ""HoHoKam"" on kirjaimellisesti käännetty intiaanikielestä ""ne, jotka katosivat"". North Siders on kutsunut Mesaa keväällä kotikseen useimpien kausien ajan vuodesta 1952 lähtien."	Sloan Parkissa Arizonan Mesassa	
squad_v2_16	Mikä on Nanjingissa sijaitsevan jalkapalloseuran nimi?	Suurena kiinalaisena kaupunkina Nanjing on monien ammattilaisurheilujoukkueiden kotikaupunki. Kiinan Superliigassa tällä hetkellä majaileva jalkapalloseura Jiangsu Sainty on Nanjing Olympic Sports Centerin pitkäaikainen vuokralainen. Jiangsu Nangang -koripalloseura on kilpailukykyinen joukkue, joka on jo pitkään ollut yksi suurimmista seuroista, jotka taistelevat mestaruudesta Kiinan ylimmän tason liigassa, CBA:ssa. Myös Jiangsun lentopallomiesten ja -naisten joukkueita pidetään perinteisesti Kiinan lentopalloliigan huipputasolla.	Jiangsu Sainty	
squad_v2_17	Mitä materiaalia syntyy, kun puu hajotetaan kemiallisesti?	Rakentamiseen sellaisenaan soveltumaton puu voidaan pilkkoa mekaanisesti (kuiduiksi tai lastuiksi) tai kemiallisesti (selluloosaksi) ja käyttää muiden rakennusmateriaalien raaka-aineena, kuten teknisesti valmistetun puun sekä lastulevyjen, kovalevyjen ja keskitiheiden kuitulevyjen (MDF) raaka-aineena. Tällaisia puujohdannaisia käytetään laajalti: puukuidut ovat tärkeä osa suurinta osaa paperista, ja selluloosaa käytetään joidenkin synteettisten materiaalien ainesosana. Puujohdannaisia voidaan käyttää myös erilaisissa lattiapäällysteissä, esimerkiksi laminaattilattioissa.	(selluloosaksi)	
squad_v2_18	Mikä on yleisin tapausmuoto tekstissä?	"Kirjainten kirjainkirjaimet määräytyvät usein kielen kieliopin tai tietyn tieteenalan konventioiden mukaan. Ortografiassa isot kirjaimet on varattu ensisijaisesti erityistarkoituksiin, kuten lauseen tai varsinaisen substantiivin ensimmäiseksi kirjaimeksi, minkä vuoksi pienet kirjaimet ovat tekstissä yleisempi vaihtoehto. Matematiikassa kirjainlyhenteet voivat ilmaista objektien välisiä suhteita, ja isot kirjaimet edustavat usein ""ylempiä"" objekteja (esimerkiksi X voi olla joukko, joka sisältää yleisen jäsenen x). Tekniikan piirustukset on yleensä merkitty kokonaan isoilla kirjaimilla, jotka on helpompi erottaa pienistä kirjaimista, erityisesti silloin, kun tilarajoitukset edellyttävät, että kirjaimet ovat pieniä."	pienet kirjaimet	
squad_v2_19	Mihin jäivät ne slaavit, jotka sulautuivat unkarilaiseen tai romanialaiseen väestöön?	Toisaalta osa slaaveista sulautui muihin väestöihin. Vaikka suurin osa jatkoi etelään Bulgarian rikkauksien houkuttelemana, osa jäi Karpaattien altaaseen ja sulautui lopulta unkarilaiseen tai romanialaiseen väestöön. Romaniassa on suuri määrä jokien nimiä ja muita paikannimiä, jotka ovat slaavilaisperäisiä.[parempi lähde tarvitaan].	Karpaattien altaaseen	
squad_v2_20	Mitä tuomioistuin tarvitsee vangitakseen aateliston jäsenen?	"Vuonna 1430 Jedlnian etuoikeuksilla, jotka vahvistettiin Krakovassa vuonna 1433 (puolaksi: ""przywileje jedlne?sko-krakowskie""), joka perustui osittain hänen aikaisempaan Brze?? Kujawski -privilegiinsä (25. huhtikuuta 1425), kuningas W?adys?aw II Jagie??o myönsi aatelisille takuun mielivaltaista pidättämistä vastaan, joka oli samankaltainen kuin englantilaisen Magna Cartan Habeas corpus, joka tunnetaan sen omasta latinankielisestä nimestä nimellä ""neminem captivabimus (nisi jure victum)."" Tästä lähtien ketään aateliston jäsentä ei voitu vangita ilman tuomioistuimen antamaa lupaa: kuningas ei voinut rangaista eikä vangita ketään aatelista mielensä mukaan. Kuningas W?adys?awin vastineeksi tästä suopeudesta aateliset takasivat, että hänen valtaistuimensa perisi joku hänen pojistaan (joka olisi velvollinen kunnioittamaan aatelisille aiemmin myönnettyjä etuoikeuksia). Toukokuun 2. päivänä 1447 sama kuningas antoi Wilnon etuoikeuden, joka antoi liettualaisille boijareille samat oikeudet kuin puolalaisilla szlachteilla."	None	
squad_v2_21	Milloin Englannin ylituomari Sir Edward Coke puhui kieltotapauksessa?	"Vuonna 1607 Englannin ylituomari Sir Edward Coke sanoi (oman raporttinsa mukaan) kieltotapauksessa, että ""laki oli kultainen mittasauva ja toimenpide, jolla käsiteltiin alamaisen asioita ja joka suojeli Hänen Majesteettiaan turvallisuudessa ja rauhassa: josta kuningas loukkaantui suuresti ja sanoi, että silloin hänen pitäisi olla lain alainen, mikä oli maanpetos väittää, kuten hän sanoi; johon minä sanoin, että Bracton sanoo, quod Rex non debed esse sub homine, sed sub Deo et lege (Että kuninkaan ei pitäisi olla kenenkään ihmisen alainen, vaan Jumalan ja lain alainen). )."""	Vuonna 1607	
squad_v2_22	Mitkä aineet päästävät vesihöyryä takaisin ilmakehään?	Maan pinta ja pilvet imevät auringon näkyvää ja näkymätöntä säteilyä ja lähettävät suuren osan energiasta infrapunana takaisin ilmakehään. Tietyt ilmakehän aineet, pääasiassa pilvipisarat ja vesihöyry, mutta myös hiilidioksidi, metaani, dityppioksidi, rikkiheksafluoridi ja kloorifluorihiilivedyt, absorboivat tätä infrapunasäteilyä ja säteilevät sitä uudelleen kaikkiin suuntiin, myös takaisin Maahan. Näin ollen kasvihuoneilmiö pitää ilmakehän ja maanpinnan paljon lämpimämpänä kuin jos infrapunaa absorboivia aineita ei olisi ilmakehässä.	None	
squad_v2_23	Mikä on invariantti aikaväli on riippumaton?	Erityinen suhteellisuusteoria on muotoiltu kätevästi Minkowskin avaruusajassa, matemaattisessa rakenteessa, jossa yhdistyvät kolme avaruusulottuvuutta ja yksi aikaulottuvuus. Tässä formalismissa etäisyyksiä avaruudessa voidaan mitata sen mukaan, kuinka kauan valolta kestää kulkea kyseinen matka, esimerkiksi valovuosi on etäisyyden mitta, ja metri määritellään nyt sen mukaan, kuinka pitkän matkan valo kulkee tietyssä ajassa. Minkowskin avaruusajassa kaksi tapahtumaa on erotettu toisistaan invariantti väli, joka voi olla joko avaruudellinen, valon kaltainen tai ajan kaltainen. Tapahtumat, joilla on ajan kaltainen etäisyys, eivät voi olla samanaikaisia missään viitekehyksessä, vaan niiden etäisyydellä on oltava ajallinen komponentti (ja mahdollisesti myös avaruudellinen). Tapahtumat, joilla on avaruudellinen ero, ovat samanaikaisia jossakin viitekehyksessä, eikä ole olemassa sellaista viitekehystä, jossa niillä ei olisi avaruudellista eroa. Eri havaitsijat voivat laskea eri etäisyyksiä ja eri aikavälejä kahden tapahtuman välille, mutta tapahtumien välinen muuttumaton väli on havaitsijasta (ja hänen nopeudestaan) riippumaton.	None	
squad_v2_24	Mitä house-musiikin muunnelmaa tuottivat esimerkiksi Madonna ja Kylie Minogue?	1980-luvun lopulla monet paikalliset chicagolaiset house-artistit saivat yhtäkkiä merkittäviä levy-yhtiösopimuksia. House-musiikki osoittautui kaupallisesti menestyksekkääksi genreksi, ja valtavirtaisempi pop-pohjainen variaatio kasvoi yhä suositummaksi. Sellaiset artistit ja yhtyeet kuin Madonna, Janet Jackson, Paula Abdul, Aretha Franklin, Bananarama, Diana Ross, Tina Turner, Whitney Houston, Steps, Kylie Minogue, Björk ja C+C Music Factory ovat kaikki sisällyttäneet genren joihinkin töihinsä. Nautittuaan huomattavasta menestyksestä 90-luvun alussa ja puolivälissä house-musiikki kasvoi entisestään progressiivisen housen toisen aallon aikana (1999-2001). Genre on pysynyt suosittuna ja sulautunut muihin suosittuihin alalajeihin, esimerkiksi G-houseen, Deep Houseen, Tech Houseen ja Bass Houseen. Vuodesta 2015 lähtien house-musiikki on edelleen erittäin suosittua sekä klubeilla että valtavirran pop-skenessä, mutta säilyttää samalla jalansijaa underground-skeneissä ympäri maailmaa.[viitattu ].	pop-pohjainen variaatio	
squad_v2_25	Minkä Tuvalun saarista de Peyster näki?	"Seuraava eurooppalainen vierailija oli newyorkilainen Arent Schuyler de Peyster, brittiläisten värien alla purjehtineen aseistetun brigantti- tai yksityisaluksen Rebecca kapteeni, joka kulki Tuvalun eteläisten vesien läpi toukokuussa 1819; de Peyster näki Nukufetaun ja Funafutin, jonka hän nimesi Ellicen saareksi englantilaisen poliitikon, Coventryn parlamentin jäsenen ja Rebeccan lastin omistajan Edward Ellicen mukaan. Ellice-nimeä käytettiin kaikille yhdeksälle saarelle englantilaisen hydrografi Alexander George Findlayn työn jälkeen."	Nukufetaun ja Funafutin	
mochi	Mikä on tämän hetken hittituote?	Japanilaistyylinen jäätelöllä täytetty riisileivonnainen eli mochi viedään kaupoissa käsistä. Se oli muun muassa Lidlin tammikuisen Aasia-teemaviikon todellinen hitti, joka myytiin heti loppuun. Lidlin viestinnästä kerrotaan, että mochit katosivat kaikista Lidlin myymälöistä alle viikossa.	Japanilaistyylinen jäätelöllä täytetty riisileivonnainen eli mochi	https://www.iltalehti.fi/ruoka-artikkelit/a/d2f50a77-879c-4b4a-831e-f773be509d44
mochi	Missä kaupassa tuotetta on myyty?	Japanilaistyylinen jäätelöllä täytetty riisileivonnainen eli mochi viedään kaupoissa käsistä. Se oli muun muassa Lidlin tammikuisen Aasia-teemaviikon todellinen hitti, joka myytiin heti loppuun. Lidlin viestinnästä kerrotaan, että mochit katosivat kaikista Lidlin myymälöistä alle viikossa.	Lidlin	
mochi	Kuinka nopeasti mochi myytiin loppuun?	Japanilaistyylinen jäätelöllä täytetty riisileivonnainen eli mochi viedään kaupoissa käsistä. Se oli muun muassa Lidlin tammikuisen Aasia-teemaviikon todellinen hitti, joka myytiin heti loppuun. Lidlin viestinnästä kerrotaan, että mochit katosivat kaikista Lidlin myymälöistä alle viikossa.	alle viikossa	
kotipizza	Mikä yritys kokeilee uudelleenkäytettäviä pizzalaatikoita?	Kotipizza kokeilee ensimmäisenä Suomessa uudelleenkäytettäviä pizzalaatikoita. Iltalehti päätti testata, miten pizzan kotiinkuljetus onnistuu muovilaatikossa. \n Kotipizzan kokeilussa on vain kaksi pizzeriaa, Jyväskylän Keljonkeskuksen ja Järvenpään ravintolat. \n Kierrätettävät laatikot eivät ole Järvenpään pizzeriassa esillä, eikä niistä ole mainosta missään, joten nyt voi todellakin sanoa, että tietäjät tietävät. \n Pyöreään laatikkoon mahtuu yksi tavallinen pizza. Pizzan hintaan lisätään kuuden euron pantti, jonka saa takaisin, kun pizzalaatikko palautetaan tähän samaan Järvenpään pizzeriaan. Toinen vaihtoehto on ladata sovellus, jolla pizzaboksin saa lainattua ilmaiseksi.	Kotipizza	https://www.iltalehti.fi/ruoka-artikkelit/a/adea227e-036d-4ae5-88e7-90f6143fc423
kotipizza	Mitkä pizzeriat ovat mukana kokeilussa?	Kotipizza kokeilee ensimmäisenä Suomessa uudelleenkäytettäviä pizzalaatikoita. Iltalehti päätti testata, miten pizzan kotiinkuljetus onnistuu muovilaatikossa. \n Kotipizzan kokeilussa on vain kaksi pizzeriaa, Jyväskylän Keljonkeskuksen ja Järvenpään ravintolat. \n Kierrätettävät laatikot eivät ole Järvenpään pizzeriassa esillä, eikä niistä ole mainosta missään, joten nyt voi todellakin sanoa, että tietäjät tietävät. \n Pyöreään laatikkoon mahtuu yksi tavallinen pizza. Pizzan hintaan lisätään kuuden euron pantti, jonka saa takaisin, kun pizzalaatikko palautetaan tähän samaan Järvenpään pizzeriaan. Toinen vaihtoehto on ladata sovellus, jolla pizzaboksin saa lainattua ilmaiseksi.	Jyväskylän Keljonkeskuksen ja Järvenpään ravintolat	
kotipizza	Mikä pizzan hintaan lisätään?	Kotipizza kokeilee ensimmäisenä Suomessa uudelleenkäytettäviä pizzalaatikoita. Iltalehti päätti testata, miten pizzan kotiinkuljetus onnistuu muovilaatikossa. \n Kotipizzan kokeilussa on vain kaksi pizzeriaa, Jyväskylän Keljonkeskuksen ja Järvenpään ravintolat. \n Kierrätettävät laatikot eivät ole Järvenpään pizzeriassa esillä, eikä niistä ole mainosta missään, joten nyt voi todellakin sanoa, että tietäjät tietävät. \n Pyöreään laatikkoon mahtuu yksi tavallinen pizza. Pizzan hintaan lisätään kuuden euron pantti, jonka saa takaisin, kun pizzalaatikko palautetaan tähän samaan Järvenpään pizzeriaan. Toinen vaihtoehto on ladata sovellus, jolla pizzaboksin saa lainattua ilmaiseksi.	kuuden euron pantti	
lempiruoka	Ketkä ovat liharuokien syöjiä?	Foodoran teettämästä suomalaisesta ruokabarometrista selviää, että stereotypiat pitävät paikkansa. \n Sen mukaan poliittinen tausta vaikuttaa ruokatottumuksiimme, kuten lempiruokaamme tai ruoan tilaamisintoomme. \n Pohjoismaissa toimivan ruoankuljetuspalvelu Foodoran tiedotteessa todetaan, että perussuomalaisten kannattajat ovat vannoutuneita liharuokien syöjiä, vihreiden ja vasemmiston kannattajat valitsevat useammin kasviksia. Kokoomuslaiset panostavat arjen luksukseen, kuten äyriäisiin ja ravintolassa käyntiin.	Perussuomalaisten kannattajat	https://www.iltalehti.fi/ruoka-artikkelit/a/b51c1e9b-9a57-49f9-b495-c44626be7dab
lempiruoka	Kuka teetti ruokabarometrin?	Foodoran teettämästä suomalaisesta ruokabarometrista selviää, että stereotypiat pitävät paikkansa. \n Sen mukaan poliittinen tausta vaikuttaa ruokatottumuksiimme, kuten lempiruokaamme tai ruoan tilaamisintoomme. \n Pohjoismaissa toimivan ruoankuljetuspalvelu Foodoran tiedotteessa todetaan, että perussuomalaisten kannattajat ovat vannoutuneita liharuokien syöjiä, vihreiden ja vasemmiston kannattajat valitsevat useammin kasviksia. Kokoomuslaiset panostavat arjen luksukseen, kuten äyriäisiin ja ravintolassa käyntiin.	Foodoran	
tiktok	Missä maassa sovellus voi joutua täyskieltoon?	Yhdysvaltain hallinto on vaatinut kiinalaista Bytedancea luopumaan sosiaalisen median palvelu Tiktokin omistajuudesta. \n Mikäli sovellusta ei myytäisi, Yhdysvallat uhkaa sovelluksen asetettavan maassa täyskieltoon. Tiktokin toimitusjohtaja Shou Zi Chew vierailee Washingtonissa keskustelemassa asiasta. \n – Omistajuuden vaihdos ei helpottaisi asiaa tietoturvan osalta tai muuttaisi datan käyttöä, Tiktokin edustaja Maureen Shanahan totesi yhtiön tiedotteessa. \n Washington Postin mukaan tiedossa on todennäköisesti kaikkien aikojen grillaus, jossa lainsäätäjät kiistelevät Capitol Hillillä 150 miljoonan amerikkalaisen käyttämän sovelluksen luotettavuudesta. \n Myös entinen presidentti Donald Trump totesi hallintokautenaan aikeistaan kieltää sovelluksen käytön Yhdysvalloissa, jollei kiinalaisomistuksista luovuttaisi. Näin ei kuitenkaan lopulta käynyt.	Yhdysvallat	https://www.iltalehti.fi/digiuutiset/a/36a249a4-2026-4ee4-8cc0-626cc190a45f
